
07978f;6160540;5364671
750e4f;5580630;2289022
958f69;6338853;5781694
803e71;6168824;3029175
28a730;4086073;3859042
c4499a;3702245;6551748
b30f6e;4755270;5030174
74e874;6261196;4709152
55954a;5100296;4835667
bb880c;4208516;5457709
5cee50;5586198;3563215
804bcb;3994102;2888009
f8a20a;5320832;5043478
b51ff5;6547912;5668934
4f4097;3658605;4312498
e5332c;3521215;6963794
07978f;6161080;5364342
750e4f;5581260;2289044
958f69;6339706;5781388
803e71;6159648;3027350
28a730;4086146;3859084
b30f6e;4763540;5027348
c4499a;3702490;6551496
74e874;6253392;4707304
55954a;5100592;4835334
bb880c;4209032;5457418
5cee50;5583396;3555430
804bcb;3994204;2888018
f8a20a;5321664;5042956
4f4097;3659210;4312996
b51ff5;6547824;5668868
e5332c;3521430;6963588
