e159a6;3398052;4285003
f43d09;4770499;5756301
7d9b54;6083836;2745533
5b6e59;5758860;2163085
8de647;3116140;6385959
8e9420;5117839;6482588
bf330f;5993398;3399659
bf1db3;4643306;5839535
15d467;6368209;3115671
c5d6fd;3448119;6506837
e159a6;3398104;4285006
f43d09;4770998;5755602
7d9b54;6084672;2746066
5b6e59;5753720;2171170
8de647;3116280;6385918
8e9420;5118678;6482176
bf330f;5993796;3400318
bf1db3;4651612;5840070
15d467;6368418;3116342
c5d6fd;3448238;6506674
aafcfe;6345126;4438077
aafcfe;6345252;4438154
f32c38;2650308;4946475
f32c38;2659120;4950750
b76f07;5381135;5694974
1c3c35;6709629;4809278
b76f07;5381270;5694948
1c3c35;6701536;4806752
d69bc8;4247800;7601182
