f3851e;3558083;2390004
8849d7;5778905;2927456
804aab;5603425;1916168
42445c;6986867;1728628
fe9a72;8684495;3060155
86ee10;2855052;2413165
f368c0;5735582;2442321
bf0ac5;7154935;2262156
acc81a;8361992;1675147
5a9942;2748723;2330422
f3851e;3558166;2390008
8849d7;5772810;2919912
804aab;5603850;1916336
42445c;6978734;1733256
fe9a72;8683990;3060310
86ee10;2855104;2413330
f368c0;5736164;2442642
bf0ac5;7154870;2262312
acc81a;8370984;1675294
5a9942;2749446;2330844
15b063;6143186;2342236
15b063;6143372;2342472
6b3bac;3750829;3600022
6b3bac;3751658;3600044
db18df;4923145;3376212
db18df;4923290;3376424
